Cod_Instrument,Nume_Instrument,Categorie,Subcategorie,Furnizor,Tara_Origine,Material,Pret_Unitar_EUR,Cantitate,Valoare_Totala_EUR,Data_Achizitie,Garantie_Luni,Data_Expirare_Garantie,Conditie,Stoc_Minim,Rating_Calitate,Autoclavabil,Utilizari_Maxime,Note
GEN-0070,Varf ultrasonic universal,General,Sterilizare,Hu-Friedy Europe,Germania,Aliaj titan-nichel,70.88,14,992.32,2023-08-13,60,2028-07-17,Nou,1,3.8,Da,Nelimitat,Inlocuieste modelul anterior
END-0060,Endo stand 10 gauri,Endodontie,Chirurgie,Dentsply Sirona,Germania,Plastic autoclavabil,30.05,16,480.8,2022-03-24,60,2027-02-26,Nou,3,4.7,Nu,100,
PAR-0017,Set chiurete Gracey complet (7 piese),Parodontologie,Sterilizare,Acteon Group,Franta,Otel inoxidabil german,807.42,6,4844.52,2021-06-09,6,2021-12-06,Nou,5,4.4,Nu,200,Necesita calibrare anuala
STE-0068,Masca chirurgicala tip IIR (50 buc),Sterilizare,Auxiliar,Acteon Group,Franta,Silicon medical,27.89,13,362.57,2023-05-24,6,2023-11-20,Nou,1,3.8,Da,Nelimitat,
ORT-0022,Spatula pozitionare bracket,Ortodontie,Chirurgie,Dentsply Sirona,Germania,Otel inoxidabil,54.46,8,435.68,2024-01-25,6,2024-07-23,Demo,3,4.3,Da,200,Inlocuieste modelul anterior
PED-0025,Plugger compozit pediatric,Pedodontie,Profilaxie,Kerr Dental,SUA,Otel inoxidabil,52.04,5,260.2,2020-01-22,60,2024-12-26,Reconditionat,2,4.1,Da,Nelimitat,Livrare urgenta
STE-0017,Sigilator pungi sterilizare Melag,Sterilizare,Auxiliar,W&H Dentalwerk,Austria,Aluminiu anodizat,1390.63,5,6953.15,2023-07-03,36,2026-06-17,Nou,1,4.4,Nu,200,Livrare urgenta
CHI-0060,Needle holder Hegar 15cm,Chirurgie Orala,Sterilizare,GC Europe,Belgia,Otel inoxidabil german,195.35,6,1172.1,2022-01-08,60,2026-12-13,Nou,3,4.5,Nu,100,Lot special
GEN-0045,Oglinda frontala cu maner,General,Diagnostic,GC Europe,Belgia,Otel inoxidabil,56.83,18,1022.94,2020-11-26,12,2021-11-21,Nou,4,4.5,Nu,200,
GEN-0046,Pensa pentru vata,General,Sterilizare,Densply Romania,Romania,Otel inoxidabil,48.3,2,96.6,2022-04-27,36,2025-04-11,Nou,5,4.9,Nu,200,
PRO-0054,Matrice sectoriala metal (set 10),Prostetica,Diagnostic,Dentsply Sirona,Germania,Otel inoxidabil,57.62,17,979.54,2021-03-01,36,2024-02-14,Nou,3,3.9,Da,1,
ORT-0027,Deschizator buze transparent,Ortodontie,Profilaxie,American Orthodontics,SUA,Plastic autoclavabil,43.36,2,86.72,2025-11-05,24,2027-10-26,Nou,1,3.6,Nu,1000,Livrare urgenta
RAD-0032,Tablier protectie plumb adult,Radiologie,Sterilizare,Dentsply Sirona,Germania,Silicon medical,501.34,18,9024.12,2025-09-09,24,2027-08-30,Nou,3,4.2,Da,Nelimitat,Verificat la receptie
STE-0004,Autoclav clasa B W&H Lexa B,Sterilizare,Tratament,Acteon Group,Franta,Aluminiu anodizat,3999.09,10,39990.9,2020-02-12,6,2020-08-10,Nou,5,3.8,Da,1,
ORT-0049,Cleste Nance,Ortodontie,Chirurgie,3M Oral Care,SUA,Otel inoxidabil german,149.68,2,299.36,2023-10-02,6,2024-03-30,Nou,5,4.5,Da,100,Verificat la receptie
PRO-0011,Lingura amprenta superioara L,Prostetica,Diagnostic,GC Europe,Belgia,Aluminiu anodizat,18.66,9,167.94,2023-09-10,60,2028-08-14,Nou,2,4.5,Da,500,Recomandat de medic specialist
GEN-0069,Varf ultrasonic universal,General,Sterilizare,Densply Romania,Romania,Aliaj titan-nichel,79.94,19,1518.86,2023-03-28,36,2026-03-12,Nou,3,4.5,Nu,200,Verificat la receptie
ORT-0037,Bracket metalic MBT (set 20),Ortodontie,Sterilizare,Dentsply Sirona,Germania,Otel inoxidabil,279.4,7,1955.8,2025-09-29,6,2026-03-28,Nou,1,3.9,Nu,500,Inlocuieste modelul anterior
PRO-0061,Portamalgam Dentsply,Prostetica,Profilaxie,Dentsply Sirona,Germania,Otel inoxidabil german,117.29,16,1876.64,2021-05-11,60,2026-04-15,Nou,3,4.0,Da,1000,Verificat la receptie
PAR-0022,Scaler ultrasonic Cavitron,Parodontologie,Auxiliar,Hu-Friedy Europe,Germania,Aliaj titan-nichel,4133.67,10,41336.7,2022-04-15,60,2027-03-20,Nou,4,3.7,Da,1000,Inlocuieste modelul anterior
PRO-0045,Spatula composite Goldstein,Prostetica,Diagnostic,Dentsply Sirona,Germania,Otel inoxidabil german,124.78,19,2370.82,2021-11-23,60,2026-10-28,Nou,3,4.7,Da,200,Recomandat de medic specialist
STE-0020,Sigilator pungi sterilizare Melag,Sterilizare,Chirurgie,Densply Romania,Romania,Aluminiu anodizat,1229.66,12,14755.92,2024-08-14,24,2026-08-04,Nou,2,3.9,Da,1000,Inlocuieste modelul anterior
PED-0016,Cleste extractie 151S pediatric,Pedodontie,Chirurgie,GC Europe,Belgia,Otel inoxidabil german,105.31,20,2106.2,2023-05-10,60,2028-04-13,Nou,5,4.3,Nu,Nelimitat,Recomandat de medic specialist
END-0055,Ace Gates Glidden nr.2 (6 buc),Endodontie,Profilaxie,KaVo Kerr,Germania,Carbon,29.62,17,503.54,2023-06-07,12,2024-06-01,Nou,1,3.9,Da,200,Verificat la receptie
RAD-0045,Film radiologie Speed D (150 buc),Radiologie,Chirurgie,Dentsply Sirona,Germania,Silicon medical,152.96,11,1682.56,2023-05-18,24,2025-05-07,Nou,3,3.6,Da,1,Recomandat de medic specialist
END-0012,Ace Hedstrom 25mm (6 buc),Endodontie,Diagnostic,Dentsply Sirona,Germania,Aliaj titan-nichel,30.63,5,153.15,2024-09-13,12,2025-09-08,Nou,5,3.9,Nu,Nelimitat,Lot special
RAD-0011,Suport film radiologic adult (set 3),Radiologie,Auxiliar,Henry Schein Dental,SUA,Plastic autoclavabil,95.97,7,671.79,2023-08-27,12,2024-08-21,Nou,3,3.8,Nu,Nelimitat,
STE-0029,Cassete Hu-Friedy IMS marime M,Sterilizare,Chirurgie,W&H Dentalwerk,Austria,Aluminiu anodizat,130.9,20,2618.0,2022-08-25,36,2025-08-09,Nou,2,3.8,Nu,200,
CHI-0046,Retractor Langenbeck,Chirurgie Orala,Auxiliar,GC Europe,Belgia,Otel inoxidabil german,113.83,4,455.32,2025-11-04,12,2026-10-30,Nou,3,4.9,Da,1000,
ORT-0019,Cleste Mathieu needle holder,Ortodontie,Auxiliar,American Orthodontics,SUA,Otel inoxidabil,136.58,20,2731.6,2023-09-05,60,2028-08-09,Nou,1,4.5,Da,1000,Livrare urgenta
ORT-0058,Elastice ortodontice 1/4 (100 buc),Ortodontie,Auxiliar,Dentsply Sirona,Germania,Silicon medical,16.53,8,132.24,2024-04-30,6,2024-10-27,Nou,1,4.0,Da,Nelimitat,
PAR-0026,Varf ultrasonic paro TFI-10,Parodontologie,Sterilizare,Acteon Group,Franta,Aliaj titan-nichel,47.8,11,525.8,2020-07-27,60,2025-07-01,Nou,3,4.2,Da,1,Recomandat de medic specialist
ORT-0054,Pin pusher instrucor,Ortodontie,Chirurgie,Dentsply Sirona,Germania,Otel inoxidabil,63.68,8,509.44,2024-12-24,60,2029-11-28,Nou,4,3.9,Nu,Nelimitat,
PRO-0027,Arc facial Denar,Prostetica,Sterilizare,3M Oral Care,SUA,Aliaj titan-nichel,508.04,10,5080.4,2023-09-23,12,2024-09-17,Nou,5,3.6,Da,1,Livrare urgenta
CHI-0072,Trusa extractie completa (20 piese),Chirurgie Orala,Tratament,Henry Schein Dental,SUA,Otel inoxidabil german,2857.11,8,22856.88,2022-03-28,24,2024-03-17,Nou,1,3.7,Da,Nelimitat,
IMP-0053,Osteotom Summers 3mm,Implantologie,Sterilizare,NSK Europe,Japonia,Titan,197.19,8,1577.52,2020-08-25,12,2021-08-20,Nou,4,3.7,Da,100,Recomandat de medic specialist
IMP-0052,Osteotom Summers 3mm,Implantologie,Auxiliar,Zimmer Biomet,SUA,Titan,106.06,7,742.42,2021-09-28,60,2026-09-02,Nou,5,4.5,Da,100,Inlocuieste modelul anterior
CHI-0008,Lame bisturiu nr.15 (100 buc),Chirurgie Orala,Chirurgie,Henry Schein Dental,SUA,Otel inoxidabil,93.14,11,1024.54,2024-08-01,24,2026-07-22,Nou,4,4.5,Nu,500,Verificat la receptie
PRO-0028,Arc facial Denar,Prostetica,Chirurgie,3M Oral Care,SUA,Aliaj titan-nichel,315.99,10,3159.9,2025-03-21,36,2028-03-05,Nou,2,3.7,Da,200,Recomandat de medic specialist
PAR-0041,Needle holder Castroviejo,Parodontologie,Profilaxie,Acteon Group,Franta,Otel inoxidabil german,192.14,14,2689.96,2023-02-07,24,2025-01-27,Nou,3,4.8,Da,Nelimitat,Livrare urgenta
ORT-0039,Bracket ceramic (set 20),Ortodontie,Chirurgie,Ormco,SUA,Silicon medical,533.88,14,7474.32,2021-12-20,12,2022-12-15,Nou,2,4.3,Da,200,Inlocuieste modelul anterior
GEN-0068,Dispozitiv detartraj ultrasonic EMS,General,Diagnostic,Densply Romania,Romania,Aliaj titan-nichel,2257.89,7,15805.23,2024-10-07,6,2025-04-05,Nou,2,4.9,Da,50,
ORT-0057,Elastice ortodontice 1/4 (100 buc),Ortodontie,Diagnostic,3M Oral Care,SUA,Silicon medical,15.64,17,265.88,2021-08-26,36,2024-08-10,Nou,2,4.7,Nu,1,Necesita calibrare anuala
PRO-0049,Matrice Tofflemire set complet,Prostetica,Profilaxie,GC Europe,Belgia,Otel inoxidabil,98.19,12,1178.28,2020-08-10,24,2022-07-31,Nou,1,3.6,Nu,100,Livrare urgenta
IMP-0046,Cover screw implant,Implantologie,Sterilizare,Nobel Biocare,Elvetia,Titan,61.8,20,1236.0,2024-12-17,12,2025-12-12,Nou,1,3.7,Nu,100,
PAR-0010,Chiureta Gracey 7/8 SG,Parodontologie,Profilaxie,Mectron,Italia,Otel inoxidabil german,72.88,8,583.04,2024-03-30,36,2027-03-15,Nou,1,4.2,Da,Nelimitat,Recomandat de medic specialist
END-0046,Sistem irigatie NaviTip,Endodontie,Tratament,Acteon Group,Franta,Plastic autoclavabil,130.21,9,1171.89,2023-08-24,24,2025-08-13,Nou,3,3.8,Da,Nelimitat,Lot special
CHI-0013,Elevator Luxator PDL 3mm,Chirurgie Orala,Sterilizare,Hu-Friedy Europe,Germania,Otel inoxidabil german,154.84,6,929.04,2025-07-17,36,2028-07-01,Nou,5,3.9,Da,500,
GEN-0029,Chiureta Gracey 11/12,General,Tratament,Hu-Friedy Europe,Germania,Otel inoxidabil german,72.85,14,1019.9,2023-02-07,6,2023-08-06,Nou,2,4.5,Nu,500,Verificat la receptie
CHI-0083,Dalta os cu maner,Chirurgie Orala,Sterilizare,Henry Schein Dental,SUA,Otel inoxidabil german,63.54,6,381.24,2020-04-17,60,2025-03-22,Nou,5,4.4,Da,50,
GEN-0059,Tava instrument inox,General,Chirurgie,Kerr Dental,SUA,Otel inoxidabil,65.17,1,65.17,2021-01-16,24,2023-01-06,Nou,2,4.0,Nu,500,Recomandat de medic specialist
PRO-0010,Lingura amprenta superioara M,Prostetica,Sterilizare,Kerr Dental,SUA,Aluminiu anodizat,42.94,3,128.82,2023-05-10,24,2025-04-29,Nou,4,4.7,Da,100,Sterilizabil autoclav
GEN-0055,Kit examinare de baza (4 piese),General,Tratament,Hu-Friedy Europe,Germania,Otel inoxidabil german,255.93,16,4094.88,2021-03-08,36,2024-02-21,Reconditionat,4,4.6,Da,500,Sterilizabil autoclav
CHI-0052,Pensa Adson cu dinti,Chirurgie Orala,Tratament,KaVo Kerr,Germania,Otel inoxidabil german,67.66,15,1014.9,2023-02-01,60,2028-01-06,Reconditionat,5,3.7,Nu,100,Lot special
PED-0010,Cleste extractie 150S pediatric,Pedodontie,Tratament,Kerr Dental,SUA,Otel inoxidabil german,193.02,14,2702.28,2022-10-13,12,2023-10-08,Nou,5,4.6,Nu,500,
RAD-0022,Negatoscop LED dentar,Radiologie,Chirurgie,Dentsply Sirona,Germania,Aluminiu anodizat,479.66,16,7674.56,2022-05-09,12,2023-05-04,Nou,3,4.3,Da,1,Sterilizabil autoclav
PRO-0059,Cheie silicon inregistrare ocluzie,Prostetica,Profilaxie,Kerr Dental,SUA,Silicon medical,47.2,1,47.2,2025-07-31,12,2026-07-26,Nou,1,4.9,Da,50,Inlocuieste modelul anterior
GEN-0027,Chiureta Gracey 1/2,General,Diagnostic,Densply Romania,Romania,Otel inoxidabil german,124.8,20,2496.0,2025-12-06,6,2026-06-04,Nou,5,3.9,Da,100,Inlocuieste modelul anterior
ORT-0068,Set instrumente debonding (5 piese),Ortodontie,Chirurgie,Dentsply Sirona,Germania,Carbon,309.2,20,6184.0,2022-01-09,60,2026-12-14,Nou,1,3.6,Da,200,Inlocuieste modelul anterior
GEN-0011,Excavator dublu 17/18,General,Sterilizare,Densply Romania,Romania,Otel inoxidabil,80.05,11,880.55,2021-04-01,24,2023-03-22,Nou,4,3.5,Da,500,Verificat la receptie
GEN-0058,Kit examinare de baza (4 piese),General,Profilaxie,GC Europe,Belgia,Otel inoxidabil german,260.85,9,2347.65,2020-02-11,60,2025-01-15,Reconditionat,1,3.9,Da,1000,Sterilizabil autoclav
ORT-0012,Cleste indoire arc Tweed,Ortodontie,Profilaxie,American Orthodontics,SUA,Otel inoxidabil german,105.71,12,1268.52,2023-05-10,36,2026-04-24,Nou,4,4.8,Nu,1,
IMP-0049,Healing abutment 5mm,Implantologie,Tratament,NSK Europe,Japonia,Titan,85.87,8,686.96,2025-08-08,60,2030-07-13,Nou,1,5.0,Nu,Nelimitat,Necesita calibrare anuala
ORT-0045,Banda molar cu tub (set 4),Ortodontie,Profilaxie,Ormco,SUA,Otel inoxidabil,80.17,10,801.7,2023-01-30,60,2028-01-04,Nou,5,3.6,Da,1,Livrare urgenta
END-0017,Ace rotative WaveOne Gold Primary,Endodontie,Chirurgie,KaVo Kerr,Germania,Aliaj titan-nichel,125.17,1,125.17,2025-11-26,36,2028-11-10,Nou,5,3.8,Da,Nelimitat,
PRO-0032,Spatula laborator cearã,Prostetica,Auxiliar,3M Oral Care,SUA,Otel inoxidabil,60.29,14,844.06,2023-11-02,60,2028-10-06,Nou,2,4.5,Nu,1,
STE-0008,Termodezinfector Miele G7783CD,Sterilizare,Diagnostic,SciCan,Canada,Aluminiu anodizat,9761.31,17,165942.27,2021-07-10,36,2024-06-24,Nou,3,4.3,Da,200,
CHI-0086,Spatula Tucker,Chirurgie Orala,Sterilizare,Hu-Friedy Europe,Germania,Otel inoxidabil,57.4,15,861.0,2025-06-29,24,2027-06-19,Nou,2,4.1,Nu,1000,
CHI-0025,Cleste extractie 150 superior,Chirurgie Orala,Chirurgie,KaVo Kerr,Germania,Otel inoxidabil german,180.79,9,1627.11,2022-02-05,60,2027-01-10,Nou,3,4.2,Da,50,Recomandat de medic specialist
ORT-0017,Cleste Mathieu needle holder,Ortodontie,Profilaxie,3M Oral Care,SUA,Otel inoxidabil,176.51,15,2647.65,2020-11-04,12,2021-10-30,Nou,2,4.8,Da,1,Inlocuieste modelul anterior
ORT-0021,Spatula pozitionare bracket,Ortodontie,Diagnostic,Dentsply Sirona,Germania,Otel inoxidabil,62.3,5,311.5,2024-08-26,6,2025-02-22,Nou,5,4.1,Da,50,Verificat la receptie
PRO-0006,Lingura amprenta superioara S,Prostetica,Profilaxie,3M Oral Care,SUA,Aluminiu anodizat,29.93,16,478.88,2020-01-24,60,2024-12-28,Nou,2,3.8,Nu,200,Inlocuieste modelul anterior
PED-0028,Plugger compozit pediatric,Pedodontie,Auxiliar,Kerr Dental,SUA,Otel inoxidabil,107.25,5,536.25,2025-08-27,36,2028-08-11,Nou,1,4.0,Da,1000,Livrare urgenta
ORT-0069,Set instrumente debonding (5 piese),Ortodontie,Chirurgie,Dentsply Sirona,Germania,Carbon,341.66,15,5124.9,2023-12-10,36,2026-11-24,Nou,3,4.4,Da,1,Sterilizabil autoclav
RAD-0021,Halter film radiologic tip Kim,Radiologie,Auxiliar,Dentsply Sirona,Germania,Plastic autoclavabil,56.06,15,840.9,2020-06-16,24,2022-06-06,Nou,5,4.6,Da,50,Lot special
PED-0022,Excavator pediatric mic,Pedodontie,Chirurgie,Kerr Dental,SUA,Otel inoxidabil,47.44,12,569.28,2023-01-25,24,2025-01-14,Nou,5,4.1,Da,100,Sterilizabil autoclav
STE-0046,Covor de lucru steril (100 buc),Sterilizare,Auxiliar,SciCan,Canada,Silicon medical,65.31,9,587.79,2022-08-22,60,2027-07-27,Nou,2,4.1,Nu,1,Inlocuieste modelul anterior
STE-0037,Indicator chimic sterilizare clasa 5 (250 buc),Sterilizare,Profilaxie,Densply Romania,Romania,Silicon medical,46.26,13,601.38,2022-11-12,24,2024-11-01,Nou,2,3.9,Da,Nelimitat,
STE-0003,Autoclav clasa B Melag 22B,Sterilizare,Diagnostic,SciCan,Canada,Aluminiu anodizat,6324.03,4,25296.12,2020-11-14,6,2021-05-13,Nou,4,3.6,Da,200,
STE-0059,Solutie dezinfectant suprafete (5L),Sterilizare,Tratament,Densply Romania,Romania,Silicon medical,62.14,7,434.98,2021-10-29,36,2024-10-13,Nou,3,4.5,Da,100,Inlocuieste modelul anterior
CHI-0057,Foarfece chirurgical Dean,Chirurgie Orala,Sterilizare,Henry Schein Dental,SUA,Otel inoxidabil german,138.85,3,416.55,2025-04-01,6,2025-09-28,Nou,4,4.7,Da,500,
STE-0031,Cassete Hu-Friedy IMS marime L,Sterilizare,Diagnostic,SciCan,Canada,Aluminiu anodizat,259.39,16,4150.24,2020-03-22,6,2020-09-18,Nou,1,4.0,Nu,100,Verificat la receptie
RAD-0031,Tablier protectie plumb adult,Radiologie,Profilaxie,Henry Schein Dental,SUA,Silicon medical,502.89,18,9052.02,2023-05-20,6,2023-11-16,Reconditionat,4,4.9,Da,50,
GEN-0035,Scaler sickle H6/H7,General,Profilaxie,Hu-Friedy Europe,Germania,Otel inoxidabil german,69.23,9,623.07,2022-01-01,60,2026-12-06,Reconditionat,3,3.6,Da,1000,Recomandat de medic specialist
END-0028,Spatula amestec MTA,Endodontie,Profilaxie,Dentsply Sirona,Germania,Otel inoxidabil,47.42,10,474.2,2020-12-01,36,2023-11-16,Nou,3,4.7,Da,1,Livrare urgenta
CHI-0051,Retractor Minnesota,Chirurgie Orala,Auxiliar,GC Europe,Belgia,Otel inoxidabil german,90.44,5,452.2,2022-10-23,6,2023-04-21,Nou,4,4.3,Nu,50,Lot special
CHI-0005,Bisturiu maner nr.4,Chirurgie Orala,Profilaxie,Henry Schein Dental,SUA,Otel inoxidabil german,89.12,18,1604.16,2020-01-05,36,2022-12-20,Nou,3,4.8,Da,Nelimitat,Lot special
PED-0021,Excavator pediatric mic,Pedodontie,Chirurgie,GC Europe,Belgia,Otel inoxidabil,63.55,7,444.85,2022-10-06,24,2024-09-25,Nou,2,4.9,Da,1000,Verificat la receptie
PAR-0031,Sonda Nabers furcatie,Parodontologie,Auxiliar,Hu-Friedy Europe,Germania,Otel inoxidabil german,68.39,18,1231.02,2025-12-24,6,2026-06-22,Nou,2,4.5,Nu,Nelimitat,
PAR-0024,Varf ultrasonic paro TFI-10,Parodontologie,Tratament,Satelec,Franta,Aliaj titan-nichel,103.1,12,1237.2,2022-03-15,12,2023-03-10,Nou,2,5.0,Da,1000,
END-0045,Cavit W temporar (kit),Endodontie,Sterilizare,NSK Europe,Japonia,Silicon medical,89.02,20,1780.4,2024-06-14,60,2029-05-19,Nou,5,5.0,Da,100,Necesita calibrare anuala
END-0054,Ace Gates Glidden nr.2 (6 buc),Endodontie,Tratament,KaVo Kerr,Germania,Carbon,57.88,1,57.88,2023-08-12,60,2028-07-16,Nou,1,4.4,Da,100,
ORT-0003,Cleste bracket Weingart,Ortodontie,Chirurgie,American Orthodontics,SUA,Otel inoxidabil german,136.78,20,2735.6,2025-09-12,12,2026-09-07,Nou,3,4.7,Da,Nelimitat,Sterilizabil autoclav
END-0032,Spreader endodontic D11T,Endodontie,Diagnostic,Dentsply Sirona,Germania,Otel inoxidabil german,125.94,15,1889.1,2021-12-09,12,2022-12-04,Reconditionat,2,3.7,Nu,50,Sterilizabil autoclav
PED-0019,Coroana metalica prefabricata NiCr (set 5),Pedodontie,Auxiliar,GC Europe,Belgia,Aliaj titan-nichel,90.6,14,1268.4,2022-04-15,36,2025-03-30,Nou,5,4.9,Da,500,
ORT-0064,Retractor obraz Lip Bumper,Ortodontie,Auxiliar,3M Oral Care,SUA,Plastic autoclavabil,24.67,12,296.04,2023-10-18,12,2024-10-12,Nou,4,5.0,Da,Nelimitat,Livrare urgenta
CHI-0021,Elevator Cryer dreapta,Chirurgie Orala,Auxiliar,KaVo Kerr,Germania,Otel inoxidabil german,78.61,7,550.27,2022-10-19,60,2027-09-23,Nou,1,3.7,Nu,500,
STE-0026,Cassete Hu-Friedy IMS marime M,Sterilizare,Auxiliar,W&H Dentalwerk,Austria,Aluminiu anodizat,153.0,9,1377.0,2025-10-11,36,2028-09-25,Nou,5,3.8,Da,500,
STE-0019,Sigilator pungi sterilizare Melag,Sterilizare,Chirurgie,SciCan,Canada,Aluminiu anodizat,1499.51,5,7497.55,2024-02-09,24,2026-01-29,Nou,5,3.5,Nu,1,Inlocuieste modelul anterior
CHI-0042,Cleste extractie dinte de minte 222,Chirurgie Orala,Diagnostic,GC Europe,Belgia,Otel inoxidabil german,172.62,20,3452.4,2025-07-08,12,2026-07-03,Nou,2,3.6,Da,1,Lot special
IMP-0021,Cheie dinamometrica implant,Implantologie,Sterilizare,Zimmer Biomet,SUA,Titan,735.26,14,10293.64,2021-03-09,6,2021-09-05,Nou,2,4.3,Da,200,Lot special
ORT-0051,Cleste distal end cutter,Ortodontie,Tratament,American Orthodontics,SUA,Carbon,180.47,17,3067.99,2021-01-17,36,2024-01-02,Nou,1,4.0,Da,Nelimitat,
STE-0040,Indicator biologic attest 3M (25 buc),Sterilizare,Sterilizare,SciCan,Canada,Silicon medical,165.17,6,991.02,2024-12-21,12,2025-12-16,Nou,2,4.4,Da,1,Necesita calibrare anuala
CHI-0011,Elevator Luxator PDL 3mm,Chirurgie Orala,Profilaxie,GC Europe,Belgia,Otel inoxidabil german,139.68,18,2514.24,2020-08-01,12,2021-07-27,Nou,1,4.7,Nu,1,
GEN-0041,Scaler Jacquette 34/35,General,Profilaxie,Hu-Friedy Europe,Germania,Otel inoxidabil german,74.59,16,1193.44,2020-10-25,36,2023-10-10,Nou,5,3.8,Nu,50,Sterilizabil autoclav
IMP-0054,Osteotom Summers 4mm,Implantologie,Tratament,Straumann Group,Elvetia,Titan,96.77,5,483.85,2020-02-16,12,2021-02-10,Nou,3,4.3,Da,50,Verificat la receptie
RAD-0029,Tablier protectie plumb adult,Radiologie,Diagnostic,Dentsply Sirona,Germania,Silicon medical,399.4,6,2396.4,2023-03-14,12,2024-03-08,Reconditionat,2,3.7,Da,500,
CHI-0082,Dalta os cu maner,Chirurgie Orala,Profilaxie,Henry Schein Dental,SUA,Otel inoxidabil german,80.41,5,402.05,2020-04-30,24,2022-04-20,Nou,4,4.9,Da,50,Verificat la receptie
CHI-0049,Retractor Minnesota,Chirurgie Orala,Diagnostic,KaVo Kerr,Germania,Otel inoxidabil german,125.52,8,1004.16,2021-10-07,36,2024-09-21,Nou,5,4.0,Da,100,Inlocuieste modelul anterior
ORT-0018,Cleste Mathieu needle holder,Ortodontie,Chirurgie,Dentsply Sirona,Germania,Otel inoxidabil,81.67,18,1470.06,2021-05-21,36,2024-05-05,Nou,3,4.4,Da,1000,Inlocuieste modelul anterior
STE-0048,Covor de lucru steril (100 buc),Sterilizare,Diagnostic,SciCan,Canada,Silicon medical,48.65,8,389.2,2025-04-12,24,2027-04-02,Demo,5,4.6,Da,500,
ORT-0066,Retractor obraz Lip Bumper,Ortodontie,Chirurgie,Dentsply Sirona,Germania,Plastic autoclavabil,28.87,7,202.09,2023-03-17,24,2025-03-06,Nou,1,4.8,Da,Nelimitat,Necesita calibrare anuala
END-0051,Microscop dentar Global D Vario,Endodontie,Profilaxie,Acteon Group,Franta,Aluminiu anodizat,13533.47,14,189468.58,2020-08-09,12,2021-08-04,Nou,2,4.0,Da,100,Recomandat de medic specialist
IMP-0035,Elevator periost Goldman-Fox,Implantologie,Tratament,Nobel Biocare,Elvetia,Otel inoxidabil german,164.18,19,3119.42,2023-12-07,60,2028-11-10,Nou,2,4.4,Da,500,
IMP-0018,Surubelnita implant manuala,Implantologie,Auxiliar,Straumann Group,Elvetia,Titan,187.37,14,2623.18,2025-08-07,12,2026-08-02,Nou,2,3.9,Nu,Nelimitat,
GEN-0008,Excavator dublu 17/18,General,Profilaxie,Kerr Dental,SUA,Otel inoxidabil,88.08,15,1321.2,2021-08-08,24,2023-07-29,Nou,5,4.3,Nu,100,Recomandat de medic specialist
